"entity_id","attribute_id","type_id"
"16986","96","simple"
"16988","96","simple"
"16990","96","simple"
"17004","96","simple"
"17006","96","simple"
"17019","96","simple"
"17021","96","simple"
"17025","96","simple"
"17026","96","simple"
"17033","96","simple"
"17034","96","simple"
"17036","96","simple"
"17037","96","simple"
"17055","96","simple"
"17056","96","simple"
"17085","96","simple"
"17088","96","simple"
"17090","96","simple"
"17096","96","simple"
"17098","96","simple"
"17101","96","simple"
"17103","96","simple"
"17105","96","simple"
"17110","96","simple"
"17112","96","simple"
"17113","96","simple"
"17114","96","simple"
"17115","96","simple"
"17117","96","simple"
"17124","96","simple"
"17129","96","simple"
"17130","96","simple"
"17133","96","simple"
"17134","96","simple"
"17135","96","simple"
"17137","96","simple"
"17141","96","simple"
"17150","96","simple"
"17154","96","simple"
"17155","96","simple"
"17156","96","simple"
"17161","96","simple"
"17163","96","simple"
"17167","96","simple"
"17179","96","simple"
"17181","96","simple"
"17185","96","simple"
"17193","96","simple"
"17196","96","simple"
"17203","96","simple"
"17204","96","simple"
"17206","96","simple"
"17207","96","simple"
"17208","96","simple"
"17220","96","simple"
"17232","96","simple"
"17234","96","simple"
"17238","96","simple"
"17241","96","simple"
"17242","96","simple"
"17243","96","simple"
"17244","96","simple"
"17246","96","simple"
"17248","96","simple"
"17250","96","simple"
"17251","96","simple"
"17253","96","simple"
"17254","96","simple"
"17255","96","simple"
"17256","96","simple"
"17258","96","simple"
"17259","96","simple"
"17260","96","simple"
"17261","96","simple"
"17262","96","simple"
"17263","96","simple"
"17268","96","simple"
"17270","96","simple"
"17290","96","simple"
"17304","96","simple"
"17306","96","simple"
"17314","96","simple"
"17315","96","simple"
"17320","96","simple"
"17323","96","simple"
"17324","96","simple"
"17334","96","simple"
"17336","96","simple"
"17338","96","simple"
"17341","96","simple"
"17348","96","simple"
"17350","96","simple"
"17354","96","simple"
"17356","96","simple"
"17364","96","simple"
"17365","96","simple"
"17368","96","simple"
"17369","96","simple"
"17378","96","simple"
"17381","96","simple"
"17385","96","simple"
"17386","96","simple"
"17387","96","simple"
"17388","96","simple"
"17389","96","simple"
"17390","96","simple"
"17391","96","simple"
"17392","96","simple"
"17393","96","simple"
"17394","96","simple"
"17399","96","simple"
"17400","96","simple"
"17402","96","simple"
"17413","96","simple"
"17416","96","simple"
"17430","96","simple"
"17431","96","simple"
"17436","96","simple"
"17439","96","simple"
"17440","96","simple"
"17442","96","simple"
"17444","96","simple"
"17445","96","simple"
"17452","96","simple"
"17454","96","simple"
"17455","96","simple"
"17456","96","simple"
"17460","96","simple"
"17462","96","simple"
"17472","96","simple"
"17474","96","simple"
"17476","96","simple"
"17489","96","simple"
"17493","96","simple"
"17495","96","simple"
"17497","96","simple"
"17498","96","simple"
"17499","96","simple"
"17500","96","simple"
"17501","96","simple"
"17502","96","simple"
"17504","96","simple"
"17507","96","simple"
"17508","96","simple"
"17510","96","simple"
"17512","96","simple"
"17513","96","simple"
"17517","96","simple"
"17519","96","simple"
"17527","96","simple"
"17531","96","simple"
"17533","96","simple"
"17537","96","simple"
"17539","96","simple"
"17541","96","simple"
"17546","96","simple"
"17548","96","simple"
"17550","96","simple"
"17551","96","simple"
"17552","96","simple"
"17553","96","simple"
"17559","96","simple"
"17560","96","simple"
"17563","96","simple"
"17564","96","simple"
"17565","96","simple"
"17566","96","simple"
"17567","96","simple"
"17568","96","simple"
"17569","96","simple"
"17571","96","simple"
"17586","96","simple"
"17589","96","simple"
"17590","96","simple"
"17597","96","simple"
"17599","96","simple"
"17601","96","simple"
"17604","96","simple"
"17609","96","simple"
"17615","96","simple"
"17624","96","simple"
"17628","96","simple"
"17629","96","simple"
"17634","96","simple"
"17635","96","simple"
"17636","96","simple"
"17640","96","simple"
"17652","96","simple"
"17656","96","simple"
"17657","96","simple"
"17660","96","simple"
"17662","96","simple"
"17664","96","simple"
"17665","96","simple"
"17675","96","simple"
"17689","96","simple"
"17690","96","simple"
"17691","96","simple"
"17692","96","simple"
"17693","96","simple"
"17694","96","simple"
"17695","96","simple"
"17705","96","simple"
"17711","96","simple"
"17714","96","simple"
"17715","96","simple"
"17717","96","simple"
"17720","96","simple"
"17723","96","simple"
"17724","96","simple"
"17732","96","simple"
"17734","96","simple"
"17736","96","simple"
"17737","96","simple"
"17738","96","simple"
"17739","96","simple"
"17740","96","simple"
"17741","96","simple"
"17744","96","simple"
"17746","96","simple"
"17747","96","simple"
"17750","96","simple"
"17758","96","simple"
"17759","96","simple"
"17760","96","simple"
"17767","96","simple"
"17769","96","simple"
"17782","96","simple"
"17784","96","simple"
"17786","96","simple"
"17788","96","simple"
"17790","96","simple"
"17792","96","simple"
"17809","96","simple"
"17816","96","simple"
"17824","96","simple"
"17829","96","simple"
"17831","96","simple"
"17837","96","simple"
"17844","96","simple"
"17845","96","simple"
"17846","96","simple"
"17852","96","simple"
"17855","96","simple"
"17860","96","simple"
"17862","96","simple"
"17863","96","simple"
"17866","96","simple"
"17868","96","simple"
"17869","96","simple"
"17870","96","simple"
"17872","96","simple"
