id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,product type,google product category,shipping
232,Poongar Rice - ParBoiled - Hand Pounded -Organic Rice - Kg : 1,,https://www.ulamart.com/poongar-rice-parboiled-hand-pounded-organic-rice-kg-1,New,INR 110,In Stock,,,,Ulamart,simple,,IN:::0 INR
233,Poongar Rice - ParBoiled - Hand Pounded -Organic Rice - Kg : 2,,https://www.ulamart.com/poongar-rice-parboiled-hand-pounded-organic-rice-kg-2,New,INR 218,In Stock,,,,Ulamart,simple,,IN:::0 INR
234,Poongar Rice - ParBoiled - Hand Pounded -Organic Rice - Kg : 5,,https://www.ulamart.com/poongar-rice-parboiled-hand-pounded-organic-rice-kg-5,New,INR 538,In Stock,,,,Ulamart,simple,,IN:::0 INR
235,Poongar Rice - ParBoiled - Hand Pounded -Organic Rice - Kg : 25,,https://www.ulamart.com/poongar-rice-parboiled-hand-pounded-organic-rice-kg-25,New,INR 2600,In Stock,,,,Ulamart,simple,,IN:::0 INR
236,Kattuyanam - Organic Unpolished Rice - Parboiled - Kg : 0.5,,https://www.ulamart.com/kattuyanam-organic-unpolished-rice-parboiled-kg-0-5,New,INR 88,In Stock,,,,Ulamart,simple,,IN:::0 INR
237,Kattuyanam - Organic Unpolished Rice - Parboiled - Kg : 1,,https://www.ulamart.com/kattuyanam-organic-unpolished-rice-parboiled-kg-1,New,INR 155,In Stock,,,,Ulamart,simple,,IN:::0 INR
238,Kattuyanam - Organic Unpolished Rice - Parboiled - Kg : 2,,https://www.ulamart.com/kattuyanam-organic-unpolished-rice-parboiled-kg-2,New,INR 307,In Stock,,,,Ulamart,simple,,IN:::0 INR
239,Kattuyanam - Organic Unpolished Rice - Parboiled - Kg : 5,,https://www.ulamart.com/kattuyanam-organic-unpolished-rice-parboiled-kg-5,New,INR 758,In Stock,,,,Ulamart,simple,,IN:::0 INR
240,Kattuyanam - Organic Unpolished Rice - Parboiled - Kg : 25,,https://www.ulamart.com/kattuyanam-organic-unpolished-rice-parboiled-kg-25,New,INR 3700,In Stock,,,,Ulamart,simple,,IN:::0 INR
241,Bamboo Rice -Organic Unpolished Rice - Kg : 0.5,,https://www.ulamart.com/bamboo-rice-organic-unpolished-rice-kg-0-5,New,INR 270,In Stock,,,,Ulamart,simple,,IN:::0 INR
242,Bamboo Rice -Organic Unpolished Rice - Kg : 1,,https://www.ulamart.com/bamboo-rice-organic-unpolished-rice-kg-1,New,INR 447,In Stock,,,,Ulamart,simple,,IN:::0 INR
243,Bamboo Rice -Organic Unpolished Rice - Kg : 2,,https://www.ulamart.com/bamboo-rice-organic-unpolished-rice-kg-2,New,INR 893,In Stock,,,,Ulamart,simple,,IN:::0 INR
244,Bamboo Rice -Organic Unpolished Rice - Kg : 5,,https://www.ulamart.com/bamboo-rice-organic-unpolished-rice-kg-5,New,INR 2200,In Stock,,,,Ulamart,simple,,IN:::0 INR
245,Bamboo Rice -Organic Unpolished Rice - Kg : 25,,https://www.ulamart.com/bamboo-rice-organic-unpolished-rice-kg-25,New,INR 0,#N/A,,,,Ulamart,simple,,IN:::0 INR
246,Kullakar Rice - Organic - Unpolished - Kg : 0.5,,https://www.ulamart.com/kullakar-rice-organic-unpolished-kg-0-5,New,INR 80,In Stock,,,,Ulamart,simple,,IN:::0 INR
247,Kullakar Rice - Organic - Unpolished - Kg : 1,,https://www.ulamart.com/kullakar-rice-organic-unpolished-kg-1,New,INR 140,In Stock,,,,Ulamart,simple,,IN:::0 INR
248,Kullakar Rice - Organic - Unpolished - Kg : 2,,https://www.ulamart.com/kullakar-rice-organic-unpolished-kg-2,New,INR 275,In Stock,,,,Ulamart,simple,,IN:::0 INR
249,Kullakar Rice - Organic - Unpolished - Kg : 5,,https://www.ulamart.com/kullakar-rice-organic-unpolished-kg-5,New,INR 685,In Stock,,,,Ulamart,simple,,IN:::0 INR
250,Kullakar Rice - Organic - Unpolished - Kg : 25,,https://www.ulamart.com/kullakar-rice-organic-unpolished-kg-25,New,INR 3400,In Stock,,,,Ulamart,simple,,IN:::0 INR
256,Garudan Samba - Boiled - Organic Rice - Kg : 0.5,,https://www.ulamart.com/garudan-samba-boiled-organic-rice-kg-0-5,New,INR 73,In Stock,,,,Ulamart,simple,,IN:::0 INR
257,Garudan Samba - Boiled - Organic Rice - Kg : 1,,https://www.ulamart.com/garudan-samba-boiled-organic-rice-kg-1,New,INR 145,In Stock,,,,Ulamart,simple,,IN:::0 INR
258,Garudan Samba - Boiled - Organic Rice - Kg : 2,,https://www.ulamart.com/garudan-samba-boiled-organic-rice-kg-2,New,INR 287,In Stock,,,,Ulamart,simple,,IN:::0 INR
259,Garudan Samba - Boiled - Organic Rice - Kg : 5,,https://www.ulamart.com/garudan-samba-boiled-organic-rice-kg-5,New,INR 658,In Stock,,,,Ulamart,simple,,IN:::0 INR
260,Garudan Samba - Boiled - Organic Rice - Kg : 25,,https://www.ulamart.com/garudan-samba-boiled-organic-rice-kg-25,New,INR 3250,In Stock,,,,Ulamart,simple,,IN:::0 INR
261,Karun Kuruvai Organic Rice - Kg : 0.5,,https://www.ulamart.com/karun-kuruvai-organic-rice-kg-0-5,New,INR 73,In Stock,,,,Ulamart,simple,,IN:::0 INR
262,Karun Kuruvai Organic Rice - Kg : 1,,https://www.ulamart.com/karun-kuruvai-organic-rice-kg-1,New,INR 130,In Stock,,,,Ulamart,simple,,IN:::0 INR
263,Karun Kuruvai Organic Rice - Kg : 2,,https://www.ulamart.com/karun-kuruvai-organic-rice-kg-2,New,INR 257,In Stock,,,,Ulamart,simple,,IN:::0 INR
264,Karun Kuruvai Organic Rice - Kg : 5,,https://www.ulamart.com/karun-kuruvai-organic-rice-kg-5,New,INR 628,In Stock,,,,Ulamart,simple,,IN:::0 INR
265,Karun Kuruvai Organic Rice - Kg : 25,,https://www.ulamart.com/karun-kuruvai-organic-rice-kg-25,New,INR 3090,In Stock,,,,Ulamart,simple,,IN:::0 INR
266,Kudavazhai Red-Organic Rice - Kg : 0.5,,https://www.ulamart.com/kudavazhai-red-organic-rice-kg-0-5,New,INR 73,In Stock,,,,Ulamart,simple,,IN:::0 INR
267,Kudavazhai Red-Organic Rice - Kg : 1,,https://www.ulamart.com/kudavazhai-red-organic-rice-kg-1,New,INR 135,In Stock,,,,Ulamart,simple,,IN:::0 INR
268,Kudavazhai Red-Organic Rice - Kg : 2,,https://www.ulamart.com/kudavazhai-red-organic-rice-kg-2,New,INR 267,In Stock,,,,Ulamart,simple,,IN:::0 INR
269,Kudavazhai Red-Organic Rice - Kg : 5,,https://www.ulamart.com/kudavazhai-red-organic-rice-kg-5,New,INR 663,In Stock,,,,Ulamart,simple,,IN:::0 INR
270,Kudavazhai Red-Organic Rice - Kg : 25,,https://www.ulamart.com/kudavazhai-red-organic-rice-kg-25,New,INR 3250,In Stock,,,,Ulamart,simple,,IN:::0 INR
271,Ponni Par Boiled-Organic Rice - Kg : 0.5,,https://www.ulamart.com/ponni-boiled-organic-rice-kg-0-5,New,INR 50,In Stock,,,,Ulamart,simple,,IN:::0 INR
272,Ponni Par Boiled-Organic Rice - Kg : 1,,https://www.ulamart.com/ponni-boiled-organic-rice-kg-1,New,INR 90,In Stock,,,,Ulamart,simple,,IN:::0 INR
273,Ponni Par Boiled-Organic Rice - Kg : 2,,https://www.ulamart.com/ponni-boiled-organic-rice-kg-2,New,INR 179,In Stock,,,,Ulamart,simple,,IN:::0 INR
274,Ponni Par Boiled-Organic Rice - Kg : 5,,https://www.ulamart.com/ponni-boiled-organic-rice-kg-5,New,INR 443,In Stock,,,,Ulamart,simple,,IN:::0 INR
275,Ponni Par Boiled-Organic Rice - Kg : 25,,https://www.ulamart.com/ponni-boiled-organic-rice-kg-25,New,INR 2175,In Stock,,,,Ulamart,simple,,IN:::0 INR
276,Navara Rice - Organic Handpounded Rice - Kg : 0.5,,https://www.ulamart.com/navara-rice-organic-handpounded-rice-kg-0-5,New,INR 91,In Stock,,,,Ulamart,simple,,IN:::0 INR
277,Navara Rice - Organic Handpounded Rice - Kg : 1,,https://www.ulamart.com/navara-rice-organic-handpounded-rice-kg-1,New,INR 156,In Stock,,,,Ulamart,simple,,IN:::0 INR
278,Navara Rice - Organic Handpounded Rice - Kg : 2,,https://www.ulamart.com/navara-rice-organic-handpounded-rice-kg-2,New,INR 303,In Stock,,,,Ulamart,simple,,IN:::0 INR
279,Navara Rice - Organic Handpounded Rice - Kg : 5,,https://www.ulamart.com/navara-rice-organic-handpounded-rice-kg-5,New,INR 772,In Stock,,,,Ulamart,simple,,IN:::0 INR
280,Navara Rice - Organic Handpounded Rice - Kg : 25,,https://www.ulamart.com/navara-rice-organic-handpounded-rice-kg-25,New,INR 3824,In Stock,,,,Ulamart,simple,,IN:::0 INR
281,Rajamudi - Organic Red Rice - Kg : 0.5,,https://www.ulamart.com/rajamudi-organic-red-rice-kg-0-5,New,INR 76,In Stock,,,,Ulamart,simple,,IN:::0 INR
282,Rajamudi - Organic Red Rice - Kg : 1,,https://www.ulamart.com/rajamudi-organic-red-rice-kg-1,New,INR 115,In Stock,,,,Ulamart,simple,,IN:::0 INR
283,Rajamudi - Organic Red Rice - Kg : 2,,https://www.ulamart.com/rajamudi-organic-red-rice-kg-2,New,INR 227,In Stock,,,,Ulamart,simple,,IN:::0 INR
284,Rajamudi - Organic Red Rice - Kg : 5,,https://www.ulamart.com/rajamudi-organic-red-rice-kg-5,New,INR 553,In Stock,,,,Ulamart,simple,,IN:::0 INR
285,Rajamudi - Organic Red Rice - Kg : 25,,https://www.ulamart.com/rajamudi-organic-red-rice-kg-25,New,INR 2600,In Stock,,,,Ulamart,simple,,IN:::0 INR
286,Idli rice-Organic Rice - Kg : 0.5,,https://www.ulamart.com/idli-rice-organic-rice-kg-0-5,New,INR 52,In Stock,,,,Ulamart,simple,,IN:::0 INR
287,Idli rice-Organic Rice - Kg : 1,,https://www.ulamart.com/idli-rice-organic-rice-kg-1,New,INR 90,In Stock,,,,Ulamart,simple,,IN:::0 INR
288,Idli rice-Organic Rice - Kg : 2,,https://www.ulamart.com/idli-rice-organic-rice-kg-2,New,INR 179,In Stock,,,,Ulamart,simple,,IN:::0 INR
