"value_id","attribute_id","store_id","entity_id","value"
"1433933","97","0","80084","ccm-580-wire-sr-sil-sil-l"
"1433945","97","0","80085","ccm-580-wire-sr-wh-wh-m"
"1433957","97","0","80086","ccm-580-wire-sr-wh-wh-l"
"1433969","97","0","80087","super-tacks-as1-sr-9-5-ee"
"1433981","97","0","80088","super-tacks-as1-yth-13-d"
"1433993","97","0","80089","super-tacks-as1-yth-13-5-d"
"1434245","97","0","80110","ccm-tacks-7092-hg-jr-nrw-11"
"1434257","97","0","80111","ccm-tacks-7092-hg-jr-ns-11"
"1434281","97","0","80113","ccm-tacks-7092-hg-jr-nrw-12"
"1434293","97","0","80114","ccm-tacks-7092-hg-jr-ns-12"
"1434353","97","0","80119","ccm-tacks-7092-ep-jr-l"
"1434365","97","0","80120","ccm-tacks-7092-ep-jr-m"
"1434377","97","0","80121","ccm-tacks-5092-hg-sr-bs-13"
"1434389","97","0","80122","ccm-tacks-5092-hg-sr-nrw-13"
"1434401","97","0","80123","ccm-tacks-5092-hg-sr-bs-14"
"1434413","97","0","80124","ccm-tacks-5092-hg-sr-nrw-14"
"1434425","97","0","80125","ccm-tacks-5092-hg-sr-bs-15"
"1434437","97","0","80126","ccm-tacks-7092-hg-sr-bs-13"
"1434449","97","0","80127","ccm-tacks-7092-hg-sr-nrw-13"
"1434461","97","0","80128","ccm-tacks-7092-hg-sr-ns-13"
"1434473","97","0","80129","ccm-tacks-7092-hg-sr-bs-14"
"1434485","97","0","80130","ccm-tacks-7092-hg-sr-nrw-14"
"1434497","97","0","80131","ccm-tacks-7092-hg-sr-ns-14"
"1434509","97","0","80132","ccm-4-roll-hg4iii-hg-sr-bkbk-1"
"1434533","97","0","80134","ccm-tacks-super-hp-sr-bk-m"
"1434545","97","0","80135","ccm-tacks-super-hp-sr-bk-l"
"1434557","97","0","80136","ccm-tacks-7092-ep-sr-l"
"1434581","97","0","80138","ccm-tacks-super-ep-sr-l"
"1434593","97","0","80139","ccm-tacks-super-ep-sr-m"
"1434641","97","0","80143","ccm-tacks-super-sg-sr-15"
"1434653","97","0","80144","ccm-tacks-super-sg-sr-16"
"1434665","97","0","80145","ccm-tacks-3092-sp-sr-l"
"1434677","97","0","80146","ccm-tacks-3092-sp-sr-s"
"1434725","97","0","80150","ccm-tacks-super-hp-yth-bk-m"
"1434737","97","0","80151","ccm-tacks-super-hp-yth-bk-l"
"1434749","97","0","80152","ccm-tacks-3092-ep-yth-l"
"1434761","97","0","80153","ccm-tacks-3092-ep-yth-m"
"1434773","97","0","80154","ccm-tacks-3092-ep-yth-s"
"1434809","97","0","80157","ccm-tacks-3092-sp-yth-l"
"1434821","97","0","80158","ccm-tacks-3092-sp-yth-m"
"1434833","97","0","80159","ccm-tacks-3092-sp-yth-s"
"1434845","97","0","80160","ccm-tacks-5092-hg-jr-bs-12"
"1434857","97","0","80161","ccm-tacks-5092-hg-jr-nrw-12"
"1434869","97","0","80162","ccm-tacks-classic-pro-sp-sr-l"
"1434881","97","0","80163","ccm-tacks-7092-girdle-jr-bk-l"
"1434893","97","0","80164","ccm-tacks-7092-girdle-jr-bk-xl"
"1434941","97","0","80168","ccm-tacks-super-girdle-sr-bk-s"
"1434953","97","0","80169","ccm-tacks-super-girdle-sr-bk-m"
"1434965","97","0","80170","ccm-tacks-super-girdle-sr-bk-l"
"1434977","97","0","80171","ccm-tacks-5092-hg-jr-bk-10"
"1434989","97","0","80172","ccm-tacks-5092-hg-jr-nv-10"
"1435001","97","0","80173","ccm-tacks-5092-hg-jr-bk-11"
"1435013","97","0","80174","ccm-tacks-5092-hg-jr-nv-11"
"1435037","97","0","80176","ccm-tacks-5092-hg-sr-bk-14"
"1435073","97","0","80179","ccm-tacks-7092-hg-jr-bk-12"
"1435121","97","0","80183","ccm-tacks-5092-hg-jr-bk-12"
