"attribute_id","entity_id","value","sku"
"97","131470","s19-sup-2s-pro-shld-pad-jr","1054636"
"97","131451","s19-sup-s29-shld-pad-jr","1054660"
"97","131450","s19-sup-2s-pro-shld-pad-yth","1054671"
"97","131379","s19-sup-2s-pro-ep-sr","1054675"
"97","131384","s19-sup-2s-ep-sr","1054676"
"97","131389","s19-sup-s29-ep-sr","1054677"
"97","131391","s19-sup-2s-pro-ep-jr","1054678"
"97","131396","s19-sup-2s-ep-jr","1054679"
"97","131401","s19-sup-s29-ep-jr","1054692"
"97","131405","s19-sup-2s-pro-ep-yth","1054693"
"97","131480","s19-sup-2s-pro-shin-sr","1054696"
"97","128466","s19-x2-9-goal-stk-p31","1054706"
"97","128407","s19-x2-9-goal-stk-p31","1054708"
"97","128410","s19-2xpro-goal-stk-p31","1054712"
"97","131654","s19-bauer-wmn-ls-top","1054728"
"97","128412","s19-x2-5-goal-stk-p31","1054740"
"97","128415","s19-x2-5-goal-stk-p31","1054742"
"97","128518","s19-x2-7-goal-skate-jr","1054745"
"97","128550","s19-2xpro-goal-pad-sr","1054756"
"97","128419","s19-2xpro-goal-stk-p31","1054758"
"97","131118","bauer19-vap-2x-pro-skt-sr","1054761"
"97","131135","bauer-19-vapor-2x-skt-sr","1054763"
"97","131145","bauer-19-vapor-x2-9-skt-sr","1054764"
"97","140381","s19-vapor-x2-7-skate-sr","1054765"
"97","131260","bauer19-vap-2x-pro-skt-jr","1054767"
"97","131184","bauer-19-vapor-2x-skt-jr","1054768"
"97","131195","bauer-19-vapor-x2-9-skt-jr","1054770"
"97","140375","bth19-vapor-x2-7-skate-jr","1054771"
"97","131085","bauer-19-vapor-2x-skate-yth","1054772"
"97","140379","bth19-vapor-x2-7-skate-yth","1054773"
"97","128423","s19-x2-9-goal-stk-p31","1054783"
"97","129238","s19-x2-7-goal-pad-sr","1054795"
"97","152275","s19-x2-7-catch-glove-sr","1054796"
"97","128469","s19-x2-7-blocker-sr","1054800"
"97","128428","s19-x2-5-goal-stk-p31","1054802"
"97","128430","s19-x2-5-goal-stk-p31","1054803"
"97","128432","s19-x2-5-goal-stk-p31","1054807"
"97","128440","s19-x2-9-goal-stk-p31","1054815"
"97","128566","s19-2xpro-goal-skate-sr","1054817"
"97","128605","s19-2xpro-goal-skate-jr","1054820"
"97","128627","s19-x2-9-goal-skate-sr","1054822"
"97","128583","s19-x2-9-goal-skate-jr","1054824"
"97","128603","s19-x2-7-goal-skate-sr","1054828"
"97","128471","s19-2xpro-blocker-sr","1054831"
"97","129245","s19-2x-goal-pad-sr","1054836"
"97","140014","s19-2x-catch-glove-sr","1054839"
"97","128476","s19-2x-blocker-sr","1054841"
"97","129256","s19-2x-goal-pad-int","1054849"
"97","140020","s19-2x-catch-glove-int","1054850"
"97","128483","s19-2x-blocker-int","1054852"
"97","128447","s19-x2-7-blocker-sr","1054862"
"97","152484","s19-x2-7-goal-pad-jr","1054863"
"97","140032","s19-x2-7-catch-glove-jr","1054864"
"97","128465","s19-x2-7-blocker-jr","1054865"
"97","128488","s19-x2-9-c-a-sr","1054872"
"97","128544","s19-x2-9-c-a-int","1054873"
"97","128441","s19-x2-9-c-a-jr","1054875"
"97","131529","s19-sup-s27-pants-jr","1054967"
"97","131542","s19-sup-2s-pro-pant-yth","1054968"
"97","131549","s19-sup-2s-pro-pant-sr","1054971"
"97","131772","s19-sup-2s-pro-girdle-sr","1054973"
"97","131570","s19-sup-2s-pro-pant-jr","1054974"
"97","131568","s19-sup-2s-pant-sr","1054976"
"97","131514","s19-sup-s29-pant-sr","1054977"
