"attribute_id","entity_id","sku","value"
"97","73788","06322","ccm-tacks-110-helmet-combo-sr"
"97","86417","06404","wolverines-flex-jkt-jr"
"97","86430","06407","wolverines-bubble-jkt-sr"
"97","92797","06853","wolverines-s350-sr-tee"
"97","113696","06860","ak-hs2100-pro-sock"
"97","75679","07015","wolves-flex-fz-tech-fleece-sr"
"97","75678","07016","wolves-flex-fz-tech-fleece-yth"
"97","105546","07057","jackson-5200-boot"
"97","75371","07216","cutters-rev-2-0-receiver-glv"
"97","86118","07434","wildcat-bh-twill-w-hoody-yth"
"97","109902","07459","wilmont-campuscrew-short"
"97","98369","07623","jerrys-s108-pant"
"97","77247","07729","easton-syefp3000-1b"
"97","78311","07794","mizuno-finch-fp-13"
"97","133907","07829","mondor-2765-dress-jr"
"97","135935","07833","mondor-12927-dress-jr"
"97","133292","07844","ak-zh101-sub-jersey"
"97","81279","07870","vaughn-ve8-carbn-pro-sr-c-a"
"97","112280","07871","vaughn-ve8-pro-c-a-sr-blk"
"97","124127","07924","jackson-freestyle-fusion"
"97","112282","07942","vaughn-slr-pro-c-c-a-sr"
"97","81295","07945","vaughn-ve8-jr-gp"
"97","81308","07948","vaughn-ve8-int-c-a"
"97","112284","07949","vaughn-ve8-jr-c-a"
"97","81313","07950","vaughn-ve8-pro-gp-sr"
"97","112291","07951","vaughn-ve8-pro-gp-int"
"97","81317","07952","vaughn-slr-c-a-jr"
"97","81303","07953","vaughn-slr-gp-jr"
"97","92561","08002","bauer-s18-s27-gp-jr"
"97","92573","08019","bauer-s18-s27-gp-jr"
"97","85700","08024","bauer-s18-s27-gskt-jr"
"97","102995","08039","ccm-tacks-7092-sp-sr"
"97","103009","08057","ccm-tacks-7092-sp-sr"
"97","138656","08070","step-vertex-edge-goal"
"97","138837","08071","ccm-1-5-cwd-goal-mask-yth"
"97","137796","08097","elite-pro-shin-guard-straps"
"97","141932","0901333","bauer-nexus-cust-perf-hp-jr"
"97","92411","1038861","bauer-re-akt"
"97","124258","1044676","bauer-blade-jacket"
"97","152003","1044677","bauer-blade-jacket"
"97","92071","1047963","bauer-re-akt-75-combo"
"97","116641","1047964","bauer-re-akt-75-combo"
"97","67977","105050","bauer-sup-1sle-gr-stk-sr"
"97","91429","1050634","s17-vap-xltx-pro-sr"
"97","91408","1050635","s17-vap-xltx-pro-jr"
"97","72011","1050917","bauer-ignite-pro-s17-shin-jr"
"97","80681","1050947","s17-sup-ign-pro-sp-jr"
"97","90544","1050951112","s17-sup-ign-pro-hg-sr"
"97","92587","1051452","bauer-650-wheel-hockey-bag"
"97","90751","1052880","s18-n-freeze-pro-gr-int-65"
"97","116619","1053049","vapor-1x-lite-hg-sr"
"97","90366","1053088","nexus-n2900-hg-sr"
"97","91503","1053102","s18-nexus-freeze-pro-sr"
"97","152650","1053133","vapor-x800-lite-hg-sr"
"97","90376","1053137","vapor-1x-lite-hg-jr"
