"attribute_id","option_id","store_id","value"
"171","1879","0","700x32c"
"171","1881","0","278mm"
"171","1891","0","51-55"
"171","1895","0","710ml"
"171","1899","0","56-60"
"171","1903","0","200 rt"
"171","1905","0","26x2.20"
"171","1907","0","31.8/105"
"171","1909","0","26x2.00-"
"171","1911","0","27.5x3."
"171","1913","0","31.8/100"
"171","1915","0","31.8/60m"
"171","1917","0","26x2.20-"
"171","1922","0","80mm"
"171","1927","0","12, 45"
"171","1936","0","red"
"171","1944","0","18"
"171","1948","0","40."
"171","1960","0","245"
"171","1974","0","300ml"
"171","1976","0","3x9speed"
"171","1983","0","36 9t"
"171","1987","0","series 5"
"171","1989","0","mix"
"171","1995","0","2"
"171","2004","0","t2"
"171","2034","0","1-2 year"
"171","2036","0","2 bikes"
"171","2044","0","pd-m540"
"171","2046","0","650 ml"
"171","2052","0","1.2mm"
"171","2054","0","7/8sp"
"171","2066","0","112 * 72"
"171","2068","0","mid"
"171","2072","0","120mm"
"171","2074","0","4"
"171","2076","0","26 inch"
"171","2080","0","34.9 sv"
"171","2082","0","7.3"
"171","2092","0","26x2.35"
"171","2096","0","wide47"
"171","2106","0","700c"
"171","2111","0","xx-large"
"171","2116","0","6 speed"
"171","2118","0","20.8"
"171","2124","0","s80 - 28"
"171","2137","0","16"
"171","2141","0","Choose Your Size"
"171","2142","0","55-61"
"171","2148","0","8.25"
"171","2149","0","32-37"
"171","2150","0","40.5"
"171","2151","0","9/16'"
"171","2152","0","50-55"
"171","2153","0","8.0"""
"171","2154","0","7.0"""
"171","2155","0","6.5"""
"171","2156","0","5.25"
"171","2157","0","9X33"""
"171","2158","0","l/xl"
"171","2159","0","7.6"""
"171","2160","0","7.375"""
"171","2161","0","8.25"""
"171","2162","0","18x2.0"
"171","2163","0","BK-WHT"
"171","2164","0","26x1.60"
"171","2165","0","26x2.10"
"171","2166","0","w/16g"
"171","2167","0","11-30t"
"171","2168","0","31.9mm"
"171","2169","0","asso"
"171","2170","0","16g"
"171","2171","0","255x2.0"
"171","2172","0","4mm"
"171","2173","0","550"
"171","2174","0","17.8mm"
"171","2175","0","46-47"
"171","2176","0","48-49"
"171","2177","0","mini-20"
"171","2178","0","2*235ml"
"171","2179","0","WH-GR-OR"
"171","2180","0","PUR-TANG"
"171","2181","0","PUR-FUCH"
"171","2182","0","trip100"
"171","2183","0","wide41.5"
"171","2184","0","26""*1.5"
"171","2185","0","70mm"
"171","2186","0","9/16''"
"171","2187","0","35-44 mm"
"171","2188","0","27"""
"171","2189","0","700cc"
"171","2190","0","L.BLU"
"171","2191","0","60"
"171","2192","0","0.75 lit"
"171","2194","0","6m"
"171","2195","0","29"""
"171","2196","0","72mm"
"171","2197","0","BLK-SLVR"
"171","2198","0",".."
"171","2199","0","73/68mm"
"171","2200","0","110/68mm"
"171","2201","0","9.50"""
"171","2202","0","9/16"""
"171","2203","0","RED/BLK"
"171","2204","0","JONES"
"171","2205","0","BLK-BLK."
"171","2206","0","6.5"
"171","2207","0","CLR-BLU"
"171","2208","0","160 mm"
"171","2209","0","28t 5.1m"
"171","2210","0","9t"
"171","2211","0","10mm"
"171","2212","0","22x2.3"
"171","2213","0","24 x 2.3"
"171","2214","0","xs/s"
"171","2215","0","s/m."
"171","2216","0","m(54-60)"
"171","2217","0","90 mm"
"171","2218","0","130 mm"
"171","2219","0","1/2"""
"171","2220","0","9/16""(15"
"171","2221","0","GRN-WHT"
"171","2222","0","55-60"
"171","2223","0","52-56"
"171","2224","0","1 1/8"""
"171","2225","0","OLV GREE"
"171","2226","0","SLV"
"171","2227","0","8s 11-32"
"171","2228","0","600mm"
"171","2229","0","750x15mm"
"171","2230","0","820x15mm"
"171","2231","0","9/16""15"
"171","2232","0","20mm"
"171","2233","0","31.8/85m"
"171","2234","0","20x2.0"
"171","2235","0","24x2.0"
"171","2236","0","700x38c"
"171","2237","0","27.5x2.2"
"171","2238","0","RED-ORG"
"171","2239","0","18.5 (29"
"171","2240","0","26x3.8-5"
"171","2241","0","29x2.50"
"171","2242","0","27.5"
"171","2243","0","24x1.5 3"
"171","2244","0","7 speed"
"171","2245","0","3x7speed"
"171","2246","0","7-8 spd"
"171","2247","0","6/7/8spd"
"171","2248","0","CARB"
"171","2249","0","50ml"
"171","2250","0","8.375"""
"171","2251","0","8.75"""
"171","2252","0","8.125"""
"171","2253","0","7.5"""
"171","2254","0","9.75X36"
"171","2255","0","43"""
"171","2256","0","7.75"""
"171","2257","0","21mm"
"171","2258","0","1 bike"
"171","2259","0","26 x1.75"
"171","2260","0","PERMA BL"
"171","2261","0","CRI RED"
"171","2262","0","series 1"
"171","2263","0","9.25"
"171","2264","0","s60 - 28"
"171","2265","0","s42 - 28"
"171","2266","0","a40 - 28"
"171","2267","0","5mm*30m"
"171","2268","0","38.1mm"
